"Count","Name","Path"
"953","3LCourseAZ040","C:\Program Files\WindowsPowerShell\Modules\3LCourseAZ040"
"954","Add-AzFirewallRule","C:\Program Files\WindowsPowerShell\Modules\Add-AzFirewallRule"
"955","AdoAzureHelper","C:\Program Files\WindowsPowerShell\Modules\AdoAzureHelper"
"956","AdobeUM.AzureAD","C:\Program Files\WindowsPowerShell\Modules\AdobeUM.AzureAD"
"957","Altazion","C:\Program Files\WindowsPowerShell\Modules\Altazion"
"958","Altazion.Shell","C:\Program Files\WindowsPowerShell\Modules\Altazion.Shell"
"959","AmazonAthenaCmdlets","C:\Program Files\WindowsPowerShell\Modules\AmazonAthenaCmdlets"
"960","AmazonDynamoDBCmdlets","C:\Program Files\WindowsPowerShell\Modules\AmazonDynamoDBCmdlets"
"961","AmazonMarketplaceCmdlets","C:\Program Files\WindowsPowerShell\Modules\AmazonMarketplaceCmdlets"
"962","AmazonS3Cmdlets","C:\Program Files\WindowsPowerShell\Modules\AmazonS3Cmdlets"
"963","AsBuiltReport.Microsoft.Azure","C:\Program Files\WindowsPowerShell\Modules\AsBuiltReport.Microsoft.Azure"
"964","Avanade.ArmTools","C:\Program Files\WindowsPowerShell\Modules\Avanade.ArmTools"
"965","Avanade.Azure.Models","C:\Program Files\WindowsPowerShell\Modules\Avanade.Azure.Models"
"966","Avanade.AzureAD","C:\Program Files\WindowsPowerShell\Modules\Avanade.AzureAD"
"967","Avanade.AzureAD.Graph","C:\Program Files\WindowsPowerShell\Modules\Avanade.AzureAD.Graph"
"968","Avanade.AzureReports","C:\Program Files\WindowsPowerShell\Modules\Avanade.AzureReports"
"969","Avanade.AzureStorage","C:\Program Files\WindowsPowerShell\Modules\Avanade.AzureStorage"
"970","Avanade.AzureVault","C:\Program Files\WindowsPowerShell\Modules\Avanade.AzureVault"
"971","AWS.Tools.Common","C:\Program Files\WindowsPowerShell\Modules\AWS.Tools.Common"
"972","AWS.Tools.DataZone","C:\Program Files\WindowsPowerShell\Modules\AWS.Tools.DataZone"
"973","AWS.Tools.EC2","C:\Program Files\WindowsPowerShell\Modules\AWS.Tools.EC2"
"974","AWS.Tools.Mgn","C:\Program Files\WindowsPowerShell\Modules\AWS.Tools.Mgn"
"975","AxAzureBlueprint","C:\Program Files\WindowsPowerShell\Modules\AxAzureBlueprint"
"976","Az","C:\Program Files\WindowsPowerShell\Modules\Az"
"977","Az.Accounts","C:\Program Files\WindowsPowerShell\Modules\Az.Accounts"
"978","Az.ActivityLogAlert","C:\Program Files\WindowsPowerShell\Modules\Az.ActivityLogAlert"
"979","Az.ADDomainServices","C:\Program Files\WindowsPowerShell\Modules\Az.ADDomainServices"
"980","Az.Adm","C:\Program Files\WindowsPowerShell\Modules\Az.Adm"
"981","Az.Advisor","C:\Program Files\WindowsPowerShell\Modules\Az.Advisor"
"982","Az.Aks","C:\Program Files\WindowsPowerShell\Modules\Az.Aks"
"983","Az.AksArc","C:\Program Files\WindowsPowerShell\Modules\Az.AksArc"
"984","Az.Alb","C:\Program Files\WindowsPowerShell\Modules\Az.Alb"
"985","Az.AlertsManagement","C:\Program Files\WindowsPowerShell\Modules\Az.AlertsManagement"
"986","Az.AnalysisServices","C:\Program Files\WindowsPowerShell\Modules\Az.AnalysisServices"
"987","Az.ApiManagement","C:\Program Files\WindowsPowerShell\Modules\Az.ApiManagement"
"988","Az.App","C:\Program Files\WindowsPowerShell\Modules\Az.App"
"989","Az.AppComplianceAutomation","C:\Program Files\WindowsPowerShell\Modules\Az.AppComplianceAutomation"
"990","Az.AppConfiguration","C:\Program Files\WindowsPowerShell\Modules\Az.AppConfiguration"
"991","Az.ApplicationInsights","C:\Program Files\WindowsPowerShell\Modules\Az.ApplicationInsights"
"992","Az.ArcResourceBridge","C:\Program Files\WindowsPowerShell\Modules\Az.ArcResourceBridge"
"993","Az.Astro","C:\Program Files\WindowsPowerShell\Modules\Az.Astro"
"994","Az.Attestation","C:\Program Files\WindowsPowerShell\Modules\Az.Attestation"
"995","Az.Automanage","C:\Program Files\WindowsPowerShell\Modules\Az.Automanage"
"996","Az.Automation","C:\Program Files\WindowsPowerShell\Modules\Az.Automation"
"997","Az.Avd","C:\Program Files\WindowsPowerShell\Modules\Az.Avd"
