"Type","Name","Command"
"Path","C:\Users\Esteban\Documents\WindowsPowerShell\Modules",""
"Path","C:\Program Files\WindowsPowerShell\Modules",""
"Path","C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules",""
"Path","",""
,"3LCourseAZ040",
,"Add-AzFirewallRule",
,"AdoAzureHelper",
,"AdobeUM.AzureAD",
,"Altazion",
,"Altazion.Shell",
,"AmazonAthenaCmdlets",
,"AmazonDynamoDBCmdlets",
,"AmazonMarketplaceCmdlets",
,"AmazonS3Cmdlets",
,"AsBuiltReport.Microsoft.Azure",
,"Avanade.ArmTools",
,"Avanade.Azure.Models",
,"Avanade.AzureAD",
,"Avanade.AzureAD.Graph",
,"Avanade.AzureReports",
,"Avanade.AzureStorage",
,"Avanade.AzureVault",
,"AWS.Tools.Common",
,"AWS.Tools.DataZone",
,"AWS.Tools.EC2",
,"AWS.Tools.Mgn",
,"AxAzureBlueprint",
,"Az",
,"Az.Accounts",
,"Az.ActivityLogAlert",
,"Az.ADDomainServices",
,"Az.Adm",
,"Az.Advisor",
,"Az.Aks",
,"Az.AksArc",
,"Az.Alb",
,"Az.AlertsManagement",
,"Az.AnalysisServices",
,"Az.ApiManagement",
,"Az.App",
,"Az.AppComplianceAutomation",
,"Az.AppConfiguration",
,"Az.ApplicationInsights",
,"Az.ArcResourceBridge",
,"Az.Astro",
,"Az.Attestation",
,"Az.Automanage",
,"Az.Automation",
,"Az.Avd",
,"Az.BareMetal",
,"Az.Batch",
,"Az.Billing",
,"Az.BillingBenefits",
,"Az.Blueprint",
,"Az.BootStrapper",
,"Az.BotService",
,"Az.Cdn",
,"Az.ChangeAnalysis",
,"Az.Chaos",
,"Az.CloneVirtualMachine",
,"Az.CloudService",
,"Az.CodeSigning",
,"Az.CognitiveServices",
,"Az.Communication",
,"Az.Compute",
,"Az.ConfidentialLedger",
,"Az.Confluent",
,"Az.ConnectedKubernetes",
,"Az.ConnectedMachine",
,"Az.ConnectedNetwork",
,"Az.ConnectedVMware",
,"Az.ContainerInstance",
,"Az.ContainerRegistry",
,"Az.CosmosDB",
,"Az.CostManagement",
,"Az.CustomLocation",
,"Az.CustomProviders",
,"Az.Dashboard",
,"Az.DataBox",
,"Az.DataBoxEdge",
,"Az.Databricks",
,"Az.Datadog",
,"Az.DataFactory",
,"Az.DataLakeAnalytics",
,"Az.DataLakeStore",
,"Az.DataMigration",
,"Az.DataProtection",
,"Az.DataShare",
,"Az.DedicatedHsm",
,"Az.DesktopVirtualization",
,"Az.DesktopVirtualization.Utility",
,"Az.DevCenter",
,"Az.DeviceProvisioningServices",
,"Az.DeviceUpdate",
,"Az.DevOps.Blueprint",
,"Az.DevTestLabs",
,"Az.DigitalTwins",
,"Az.DiskPool",
,"Az.Dns",
,"Az.DnsResolver",
,"Az.Do",
,"Az.DynatraceObservability",
,"Az.EdgeOrder",
