"Type","Name","Command"
"Path","C:\Users\Esteban\Documents\WindowsPowerShell\Modules",""
"Path","C:\Program Files\WindowsPowerShell\Modules",""
"Path","C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules",""
"Path","c:\Users\Esteban\.vscode\extensions\ms-vscode.powershell-2024.2.2\modules",""
"Module","Az.Accounts",""
"Command","Az.Accounts","Disable-AzDataCollection: (Description: )"
"Command","Az.Accounts","Disable-AzContextAutosave: (Description: )"
"Command","Az.Accounts","Enable-AzDataCollection: (Description: )"
"Command","Az.Accounts","Enable-AzContextAutosave: (Description: )"
"Command","Az.Accounts","Remove-AzEnvironment: (Description: )"
"Command","Az.Accounts","Get-AzEnvironment: (Description: )"
"Command","Az.Accounts","Set-AzEnvironment: (Description: )"
"Command","Az.Accounts","Add-AzEnvironment: (Description: )"
"Command","Az.Accounts","Get-AzSubscription: (Description: )"
"Command","Az.Accounts","Connect-AzAccount: (Description: )"
"Command","Az.Accounts","Get-AzContext: (Description: )"
"Command","Az.Accounts","Set-AzContext: (Description: )"
"Command","Az.Accounts","Import-AzContext: (Description: )"
"Command","Az.Accounts","Save-AzContext: (Description: )"
"Command","Az.Accounts","Get-AzTenant: (Description: )"
"Command","Az.Accounts","Send-Feedback: (Description: )"
"Command","Az.Accounts","Resolve-AzError: (Description: )"
"Command","Az.Accounts","Select-AzContext: (Description: )"
"Command","Az.Accounts","Rename-AzContext: (Description: )"
"Command","Az.Accounts","Remove-AzContext: (Description: )"
"Command","Az.Accounts","Clear-AzContext: (Description: )"
"Command","Az.Accounts","Disconnect-AzAccount: (Description: )"
"Command","Az.Accounts","Get-AzContextAutosaveSetting: (Description: )"
"Command","Az.Accounts","Set-AzDefault: (Description: )"
"Command","Az.Accounts","Get-AzDefault: (Description: )"
"Command","Az.Accounts","Clear-AzDefault: (Description: )"
"Command","Az.Accounts","Register-AzModule: (Description: )"
"Command","Az.Accounts","Enable-AzureRmAlias: (Description: )"
"Command","Az.Accounts","Disable-AzureRmAlias: (Description: )"
"Command","Az.Accounts","Uninstall-AzureRm: (Description: )"
"Command","Az.Accounts","Invoke-AzRestMethod: (Description: )"
"Command","Az.Accounts","Get-AzAccessToken: (Description: )"
"Command","Az.Accounts","Open-AzSurveyLink: (Description: )"
"Command","Az.Accounts","Get-AzConfig: (Description: )"
"Command","Az.Accounts","Update-AzConfig: (Description: )"
"Command","Az.Accounts","Clear-AzConfig: (Description: )"
"Command","Az.Accounts","Export-AzConfig: (Description: )"
"Command","Az.Accounts","Import-AzConfig: (Description: )"
"Command","Az.Accounts","Add-AzAccount: (Description: )"
"Command","Az.Accounts","Login-AzAccount: (Description: )"
"Command","Az.Accounts","Remove-AzAccount: (Description: )"
"Command","Az.Accounts","Logout-AzAccount: (Description: )"
"Command","Az.Accounts","Select-AzSubscription: (Description: )"
